Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Pizza Galleria,4.0,"Pizza, Pasta, Fast Food, Mexican",₹350 for one,36 min,₹150 OFF,https://www.zomato.com/ncr/pizza-galleria-west-patel-nagar-new-delhi/order
Wraps Kathi Rolls,4.1,"Rolls, Wraps, Momos, Shawarma, Biryani",₹150 for one,28 min,No Offers,https://www.zomato.com/ncr/wraps-kathi-rolls-1-karol-bagh-new-delhi/order
NIC Ice Creams,4.5,"Ice Cream, Desserts",₹150 for one,26 min,₹150 OFF,https://www.zomato.com/ncr/nic-ice-creams-karol-bagh-new-delhi/order
Thalairaj Biryani,4.5,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Kebabs, Snacks, Beverages",₹250 for one,29 min,50% OFF,https://www.zomato.com/ncr/thalairaj-biryani-karol-bagh-new-delhi/order
Pandit Ji Parantha Hut,4.1,"North Indian, Street Food, Beverages",₹100 for one,36 min,₹150 OFF,https://www.zomato.com/ncr/pandit-ji-parantha-hut-1-laxmi-nagar-new-delhi/order
Theobroma,4.4,"Bakery, Desserts, Beverages, Sandwich",₹150 for one,20 min,No Offers,https://www.zomato.com/ncr/theobroma-connaught-place-new-delhi/order
Nirula's,4.2,"Ice Cream, Pizza, Fast Food, Momos, Shake, Sandwich, Rolls, Burger",₹200 for one,19 min,10% OFF,https://www.zomato.com/ncr/nirulas-3-connaught-place-new-delhi/order
Big Bowl,4.1,"North Indian, Chinese, Momos",₹200 for one,59 min,No Offers,https://www.zomato.com/ncr/big-bowl-chandni-chowk-new-delhi/order
"Gianis - Ice Cream, Shakes & Sundaes",4.2,"Ice Cream, Shake, Desserts",₹100 for one,23 min,No Offers,https://www.zomato.com/ncr/gianis-ice-cream-shakes-sundaes-connaught-place-new-delhi/order
BTW,4.3,"North Indian, South Indian, Chinese, Mithai, Street Food",₹200 for one,38 min,No Offers,https://www.zomato.com/ncr/btw-1-kamla-nagar-new-delhi/order
The Pizza Kings,3.6,"Pizza, Pasta, Sandwich, Burger, Fast Food",₹100 for one,42 min,₹150 OFF,https://www.zomato.com/ncr/the-pizza-kings-1-inderlok-new-delhi/order
The Pizza Kings,3.7,"Pizza, Fast Food, Shake",₹150 for one,51 min,₹150 OFF,https://www.zomato.com/ncr/the-pizza-kings-geeta-colony-new-delhi/order
Chicago Pizza,4.1,"Pizza, Pasta, Sandwich, Rolls, Fast Food, Beverages",₹200 for one,57 min,No Offers,https://www.zomato.com/ncr/chicago-pizza-chawri-bazar-new-delhi/order
"Faasos - Wraps, Rolls & Shawarma",4.2,"Rolls, Wraps, Shawarma",₹200 for one,29 min,₹150 OFF,https://www.zomato.com/ncr/faasos-wraps-rolls-shawarma-connaught-place-new-delhi/order
Cheesecake & Co.,4.5,Bakery,₹200 for one,22 min,₹100 OFF,https://www.zomato.com/ncr/cheesecake-co-asaf-ali-road-new-delhi/order
Karim's,4.0,"North Indian, Mughlai",₹350 for one,29 min,No Offers,https://www.zomato.com/ncr/karims-karol-bagh-new-delhi/order
