Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Chai Point,4.2,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",₹200 for one,28 min,30% OFF,https://www.zomato.com/ncr/chai-point-3-connaught-place-new-delhi/order
Qureshi's Kabab Corner,4.4,"North Indian, Mughlai, Rolls, BBQ, Biryani",₹400 for one,43 min,No Offers,https://www.zomato.com/ncr/qureshis-kabab-corner-defence-colony-new-delhi/order
Chaayos Chai+Snacks=Relax,4.4,"Tea, Cafe, Coffee, Rolls, Fast Food, Beverages",₹200 for one,21 min,20% OFF,https://www.zomato.com/ncr/chaayos-chai-snacks-relax-connaught-place-new-delhi/order
Dasaprakash,4.3,"South Indian, North Indian, Sandwich, Continental, Chinese, Desserts, Beverages",₹400 for one,27 min,₹100 OFF,https://www.zomato.com/ncr/dasaprakash-1-connaught-place-new-delhi/order
Tikka Junction,4.0,"North Indian, Mughlai, Biryani, Chinese, Kebab, Rolls, Fast Food",₹550 for one,45 min,No Offers,https://www.zomato.com/ncr/tikka-junction-kamla-nagar-new-delhi/order
LeanCrust Pizza - ThinCrust Experts,4.3,"Pizza, Italian, Fast Food, Desserts",₹200 for one,29 min,₹200 OFF,https://www.zomato.com/ncr/leancrust-pizza-thincrust-experts-paharganj-new-delhi/order
A One Food Center,4.2,"North Indian, Mughlai",₹150 for one,42 min,No Offers,https://www.zomato.com/ncr/a-one-food-center-inderlok-new-delhi/order
King's Chinese Point,4.2,"Chinese, Sichuan",₹100 for one,34 min,₹150 OFF,https://www.zomato.com/ncr/kings-chinese-point-karol-bagh-new-delhi/order
Parantha Express,4.1,"North Indian, Fast Food, Beverages",₹150 for one,34 min,₹125 OFF,https://www.zomato.com/ncr/parantha-express-rajinder-nagar-new-delhi/order
Swagat Dhaba,4.0,North Indian,₹150 for one,28 min,No Offers,https://www.zomato.com/ncr/swagat-dhaba-paharganj-new-delhi/order
Lodhi Knights,4.0,"North Indian, Kebab, Momos, Rolls",₹200 for one,47 min,No Offers,https://www.zomato.com/ncr/lodhi-knights-lodhi-colony-new-delhi/order
Gulati,4.5,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages",₹900 for one,42 min,50% OFF,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi/order
China Bowl,4.4,"Chinese, Asian, Japanese, Seafood",₹500 for one,47 min,Flat 20% OFF,https://www.zomato.com/ncr/china-bowl-satyaniketan-new-delhi/order
South Indian Fast Food,4.2,"South Indian, Chinese",₹150 for one,29 min,No Offers,https://www.zomato.com/ncr/south-indian-fast-food-1-west-patel-nagar-new-delhi/order
Informal By Imperfecto,4.1,"North Indian, Continental, Mediterranean, Italian, Beverages","₹1,000 for one",26 min,₹150 OFF,https://www.zomato.com/ncr/informal-by-imperfecto-janpath-new-delhi/order
King Shawarma,4.1,"Shawarma, Chinese, Fast Food, Momos, Burger, Street Food",₹150 for one,34 min,No Offers,https://www.zomato.com/ncr/king-shawarma-west-patel-nagar-new-delhi/order
Sheikh Chang Singh,4.4,"Momos, Rolls, Fast Food, Biryani, North Indian, Beverages",₹200 for one,29 min,₹150 OFF,https://www.zomato.com/ncr/sheikh-chang-singh-karol-bagh-new-delhi/order
M I Food Center,4.3,"North Indian, Mughlai",₹200 for one,43 min,No Offers,https://www.zomato.com/ncr/m-i-food-center-lodhi-colony-new-delhi/order
Vrinda Vaishno Dhaba,4.1,North Indian,₹100 for one,36 min,No Offers,https://www.zomato.com/ncr/vrinda-vaishno-dhaba-paharganj-new-delhi/order
Amritsariya,4.1,"North Indian, Rolls",₹150 for one,33 min,No Offers,https://www.zomato.com/ncr/amritsariya-civil-lines-new-delhi/order
The Cake Shine,3.9,"Bakery, Desserts",₹150 for one,41 min,50% OFF,https://www.zomato.com/ncr/the-cake-shine-west-patel-nagar-new-delhi/order
Choko La,4.5,"Bakery, Desserts",₹200 for one,30 min,₹125 OFF,https://www.zomato.com/ncr/choko-la-1-khan-market-new-delhi/order
Annie's Kerala Kitchen,4.2,"Kerala, Chinese, Biryani, Seafood, South Indian, North Indian",₹250 for one,32 min,Flat 10% OFF,https://www.zomato.com/ncr/annies-kerala-kitchen-east-patel-nagar-new-delhi/order
Prasuma Momo Kitchen,4.2,"Momos, Chinese, Asian, Japanese, Tibetan, Street Food, Finger Food, Beverages",₹200 for one,30 min,40% OFF,https://www.zomato.com/ncr/prasuma-momo-kitchen-karol-bagh-new-delhi/order
Roshan Di Kulfi,4.3,"South Indian, North Indian, Street Food, Chinese, Desserts, Beverages",₹200 for one,31 min,No Offers,https://www.zomato.com/ncr/roshan-di-kulfi-karol-bagh-new-delhi/order
SashMick's Bakery,4.4,"Bakery, Desserts",₹200 for one,39 min,60% OFF,https://www.zomato.com/ncr/sashmicks-bakery-shakarpur-new-delhi/order
Shudh Annapurna,4.4,"North Indian, Chinese, South Indian, Beverages",₹200 for one,30 min,Flat 10% OFF,https://www.zomato.com/ncr/shudh-annapurna-karol-bagh-new-delhi/order
Sticky Rice,4.4,"Asian, Japanese, Sushi, Salad, Desserts, Beverages, Chinese",₹750 for one,53 min,No Offers,https://www.zomato.com/ncr/sticky-rice-defence-colony-new-delhi/order
Salads Point,4.3,"Salad, Healthy Food, Juices, Beverages",₹200 for one,33 min,20% OFF,https://www.zomato.com/ncr/salads-point-west-patel-nagar-new-delhi/order
Yum Yum Cha,4.5,"Asian, Chinese, Thai, Japanese, Sushi, Oriental, Ice Cream, Desserts",₹800 for one,45 min,No Offers,https://www.zomato.com/ncr/yum-yum-cha-khan-market-new-delhi/order
Paradise Muradabadi Chicken Biryani,4.1,"Biryani, North Indian, Mughlai",₹200 for one,26 min,No Offers,https://www.zomato.com/ncr/paradise-muradabadi-chicken-biryani-karol-bagh-new-delhi/order
Amritsari Kulcha Factory,4.3,"North Indian, Beverages",₹200 for one,46 min,₹125 OFF,https://www.zomato.com/ncr/amritsari-kulcha-factory-moti-nagar-new-delhi/order
Fat Lulu's Cafe & Bar,4.3,"Italian, Pasta, Continental, Beverages",₹600 for one,42 min,60% OFF,https://www.zomato.com/ncr/fat-lulus-cafe-bar-khan-market-new-delhi/order
The Tummy Section,4.2,"Shawarma, Momos, Burger, Fast Food, Chinese",₹200 for one,31 min,No Offers,https://www.zomato.com/ncr/the-tummy-section-rajendra-place-new-delhi/order
Gupta Veg Food,4.2,North Indian,₹100 for one,38 min,Free Raita [250 ml],https://www.zomato.com/ncr/gupta-veg-food-safdarjung-new-delhi/order
Mealful Rolls - India's Biggest Rolls,4.1,"Rolls, North Indian, Desserts, Beverages",₹200 for one,36 min,₹200 OFF,https://www.zomato.com/ncr/mealful-rolls-indias-biggest-rolls-paharganj-new-delhi/order
ICP Italian Crust Pizza,3.4,"Pizza, Pasta, Fast Food",₹200 for one,47 min,No Offers,https://www.zomato.com/ncr/icp-italian-crust-pizza-inderlok-new-delhi/order
Namaste Foodcy,4.2,"Chinese, Momos, North Indian",₹150 for one,41 min,50% OFF,https://www.zomato.com/ncr/namaste-foodcy-laxmi-nagar/order
Punjabi Dhaba,3.5,"Chinese, North Indian",₹150 for one,52 min,No Offers,https://www.zomato.com/ncr/punjabi-dhaba-5-kamla-nagar-new-delhi/order
Keny Premium Food,4.3,"North Indian, Street Food, Desserts, Shake, Beverages",₹200 for one,46 min,Flat 20% OFF,https://www.zomato.com/ncr/keny-premium-food-shadipur-new-delhi/order
Go Zero - Ice Creams & Desserts,4.3,"Ice Cream, Desserts, Healthy Food",₹150 for one,34 min,₹200 OFF,https://www.zomato.com/ncr/go-zero-ice-creams-desserts-karol-bagh-new-delhi/order
Mom Hand Momos,4.2,"Momos, Chinese, Sichuan",₹150 for one,47 min,No Offers,https://www.zomato.com/ncr/mom-hand-momos-satyaniketan-new-delhi/order
Burger Point,4.1,"Burger, Pizza, Pasta, Fast Food, Shake, Beverages",₹150 for one,45 min,No Offers,https://www.zomato.com/ncr/burger-point-3-laxmi-nagar-new-delhi/order
DS Dosa Factory,4.3,"South Indian, Chinese, Desserts, Beverages",₹400 for one,27 min,No Offers,https://www.zomato.com/ncr/ds-dosa-factory-connaught-place-new-delhi/order
Keventers Ice Cream,4.0,"Ice Cream, Desserts",₹150 for one,38 min,No Offers,https://www.zomato.com/ncr/keventers-ice-cream-kamla-nagar-new-delhi/order
Bangla Sweet House,4.4,"Mithai, Street Food, North Indian",₹100 for one,17 min,Flat 15% OFF,https://www.zomato.com/ncr/bangla-sweet-house-gole-market-new-delhi/order
Urban Chulha,4.1,"North Indian, Chinese, Biryani, Mughlai, Fast Food, Desserts",₹200 for one,33 min,₹150 OFF,https://www.zomato.com/ncr/urban-chulha-paharganj-new-delhi/order
Govardhan Vegetarian,4.3,"North Indian, South Indian, Chinese, Desserts, Beverages",₹500 for one,44 min,₹175 OFF,https://www.zomato.com/ncr/govardhan-vegetarian-kamla-nagar-new-delhi/order
Tasty Tim Tim,4.4,"North Indian, South Indian, Chinese, Street Food, Juices, Shake, Beverages, Momos",₹200 for one,46 min,₹200 OFF,https://www.zomato.com/ncr/tasty-tim-tim-defence-colony-new-delhi/order
Angels In My Kitchen,4.3,"Bakery, Desserts, Fast Food",₹200 for one,37 min,20% OFF,https://www.zomato.com/ncr/angels-in-my-kitchen-defence-colony-new-delhi/order
Khichdi Hub,4.3,"Healthy Food, North Indian, Street Food, Desserts, Beverages",₹250 for one,26 min,₹150 OFF,https://www.zomato.com/ncr/khichdi-hub-paharganj-new-delhi/order
Krispy Kreme,4.1,"Desserts, Beverages",₹150 for one,34 min,₹150 OFF,https://www.zomato.com/ncr/krispy-kreme-kamla-nagar-new-delhi/order
Chawlas'2 - Since 1960,4.2,"North Indian, Mughlai, Chinese, Kebab, Seafood, Fast Food",₹200 for one,34 min,No Offers,https://www.zomato.com/ncr/chawlas2-since-1960-karol-bagh-new-delhi/order
Shivji's Day Night Kitchen,3.9,"North Indian, Chinese, South Indian, Beverages",₹150 for one,54 min,10% OFF,https://www.zomato.com/ncr/shivjis-day-night-kitchen-1-rana-pratap-bagh-new-delhi/order
Zaika Chicken Biryani,4.3,Biryani,₹200 for one,44 min,No Offers,https://www.zomato.com/ncr/zaika-chicken-biryani-2-satyaniketan-new-delhi/order
NOTO - Ice Creams & Desserts,4.4,"Ice Cream, Mithai, Desserts",₹100 for one,30 min,No Offers,https://www.zomato.com/ncr/noto-ice-creams-desserts-karol-bagh-new-delhi/order
Amritsari Chaap Corner,4.3,"Fast Food, Rolls, North Indian",₹100 for one,36 min,No Offers,https://www.zomato.com/ncr/amritsari-chaap-corner-karol-bagh-new-delhi/order
Flavours Of Punjab,4.0,"North Indian, Chinese, Biryani, Rolls",₹350 for one,31 min,₹175 OFF,https://www.zomato.com/ncr/flavours-of-punjab-rajinder-nagar-new-delhi/order
Dolma Aunty Momos - Since 1994,4.5,Momos,₹100 for one,38 min,No Offers,https://www.zomato.com/ncr/dolma-aunty-momos-since-1994-lajpat-nagar-2-new-delhi/order
Aslam Chicken,4.1,"North Indian, Mughlai",₹200 for one,44 min,No Offers,https://www.zomato.com/ncr/aslam-chicken-jama-masjid-new-delhi/order
Flavours Of Southwala,4.3,"South Indian, Chinese, North Indian",₹200 for one,28 min,₹150 OFF,https://www.zomato.com/ncr/flavours-of-southwala-karol-bagh-new-delhi/order
Castle's Barbeque,4.0,"BBQ, Mughlai, North Indian, Desserts",₹900 for one,29 min,₹125 OFF,https://www.zomato.com/ncr/castles-barbeque-connaught-place-new-delhi/order
Cafe Delhi Heights,4.2,"North Indian, Italian, Burger, Continental, Pizza, Pasta, Asian, Desserts",₹600 for one,34 min,₹125 OFF,https://www.zomato.com/ncr/cafe-delhi-heights-janpath-new-delhi/order
Hashtag Foods,4.2,"Fast Food, Pizza, Sandwich, Pasta, Street Food, Chinese, Momos, Beverages",₹200 for one,46 min,No Offers,https://www.zomato.com/ncr/hashtag-foods-kamla-nagar-new-delhi/order
Marathi Katta,4.2,"Maharashtrian, North Indian",₹150 for one,30 min,No Offers,https://www.zomato.com/ncr/marathi-katta-rajinder-nagar-new-delhi/order
Carnatic Cafe,4.4,"South Indian, Beverages",₹200 for one,41 min,No Offers,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi/order
Delhi Biryani Hut,3.8,"Biryani, North Indian, Mughlai",₹150 for one,33 min,No Offers,https://www.zomato.com/ncr/delhi-biryani-hut-jangpura-new-delhi/order
Bengal Sweet Corner,4.4,"Mithai, South Indian, Chinese, Fast Food, North Indian",₹200 for one,39 min,No Offers,https://www.zomato.com/ncr/bengal-sweet-corner-safdarjung-new-delhi/order
Havemore,4.4,"North Indian, Mughlai, Biryani, Beverages","₹1,200 for one",41 min,60% OFF,https://www.zomato.com/ncr/havemore-pandara-road-new-delhi/order
Andhra Kodi Pulao,4.3,"Biryani, Andhra, Mughlai, North Indian, Street Food, Chinese",₹200 for one,20 min,₹125 OFF,https://www.zomato.com/ncr/andhra-kodi-pulao-connaught-place-new-delhi/order
Simple Burger,4.1,"Burger, Momos, Fast Food, Shake, Beverages",₹150 for one,36 min,30% OFF,https://www.zomato.com/ncr/simple-burger-karol-bagh-new-delhi/order
Brown Sugar - OG Wheat Momos & More,4.2,"Momos, Sandwich, Beverages, Shake, Fast Food, Bakery, Coffee, Chinese",₹200 for one,46 min,20% OFF,https://www.zomato.com/ncr/brown-sugar-og-wheat-momos-more-south-extension-2-new-delhi/order
Lords Of Shawarma,4.1,"Shawarma, Momos, Chinese",₹200 for one,39 min,50% OFF,https://www.zomato.com/ncr/lords-of-shawarma-west-patel-nagar-new-delhi/order
Itminaan Matka Biryani - Slow Cooked,4.1,"Biryani, North Indian, Mughlai",₹200 for one,35 min,₹200 OFF,https://www.zomato.com/ncr/itminaan-matka-biryani-slow-cooked-paharganj-new-delhi/order
Blue Tokai Coffee Roasters,4.2,"Cafe, Coffee, Bakery, Desserts, Sandwich, Beverages",₹600 for one,24 min,10% OFF,https://www.zomato.com/ncr/blue-tokai-coffee-roasters-connaught-place-new-delhi/order
Pizza Flix,3.8,"Pizza, Fast Food",₹200 for one,47 min,No Offers,https://www.zomato.com/ncr/pizza-flix-laxmi-nagar-new-delhi/order
Sri Venkateswara Andhra Foods,4.2,"South Indian, Biryani",₹200 for one,17 min,No Offers,https://www.zomato.com/ncr/sri-venkateswara-andhra-foods-1-connaught-place-new-delhi/order
Third Wave Coffee,4.3,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts, Pizza",₹350 for one,27 min,Flat 10% OFF,https://www.zomato.com/ncr/third-wave-coffee-connaught-place-new-delhi/order
The Dhaba Junction,3.8,"North Indian, Oriental, Chinese, Sandwich, Pizza, Biryani, Fast Food",₹400 for one,39 min,60% OFF,https://www.zomato.com/ncr/the-dhaba-junction-karol-bagh-new-delhi/order
Slyce Pizza,4.2,"Pizza, Italian, Fast Food",₹200 for one,47 min,₹125 OFF,https://www.zomato.com/ncr/slyce-pizza-pandav-nagar-new-delhi/order
HRX by EatFit,4.4,"Healthy Food, Salad, Burger, Mexican, Pasta, Desserts, Beverages",₹150 for one,32 min,10% OFF,https://www.zomato.com/ncr/hrx-by-eatfit-paharganj-new-delhi/order
Vikrant Cafe,4.3,"South Indian, Chinese, North Indian, Pizza, Sandwich, Street Food, Beverages",₹200 for one,44 min,20% OFF,https://www.zomato.com/ncr/vikrant-cafe-kamla-nagar-new-delhi/order
Love Pooriwala,4.2,Street Food,₹100 for one,34 min,No Offers,https://www.zomato.com/ncr/love-pooriwala-kamla-nagar-new-delhi/order
Love Chinese Corner,4.2,"Chinese, Fast Food",₹150 for one,43 min,No Offers,https://www.zomato.com/ncr/love-chinese-corner-kamla-nagar-new-delhi/order
Makhani Darbar,2.6,North Indian,₹100 for one,32 min,20% OFF,https://www.zomato.com/ncr/makhani-darbar-asaf-ali-road-new-delhi/order
Dhaba - Estd 1986 Delhi,4.1,"North Indian, Desserts",₹600 for one,33 min,No Offers,https://www.zomato.com/ncr/dhaba-estd-1986-delhi-connaught-place-new-delhi/order
Shawarma Wala,3.7,"Rolls, Fast Food, Momos, Arabian, Tea, Coffee, Shake, Beverages",₹150 for one,36 min,No Offers,https://www.zomato.com/ncr/shawarma-wala-paharganj-new-delhi/order
Dhading KTM,4.3,"Chinese, Fast Food, Burger, Rolls",₹150 for one,42 min,No Offers,https://www.zomato.com/ncr/dhading-ktm-laxmi-nagar-new-delhi/order
Shake Sahab,4.4,"Beverages, Shake, Fast Food, Desserts",₹150 for one,N/A,No Offers,https://www.zomato.com/ncr/shake-sahab-daryaganj-new-delhi/order
Dashi Dimsum & Sushi Bar,4.4,"Asian, Sushi, Japanese, Desserts",₹400 for one,29 min,No Offers,https://www.zomato.com/ncr/dashi-dimsum-sushi-bar-rajinder-nagar-new-delhi/order
Kake Di Hatti,4.1,"North Indian, Chinese, Rolls, Shake, Beverages",₹500 for one,49 min,No Offers,https://www.zomato.com/ncr/kake-di-hatti-chandni-chowk-new-delhi/order
Sri Saravana Bhavan,4.0,South Indian,₹150 for one,27 min,No Offers,https://www.zomato.com/ncr/sri-saravana-bhavan-karol-bagh-new-delhi/order
Nagpal's Chole Bhature,3.6,"North Indian, Beverages",₹150 for one,46 min,No Offers,https://www.zomato.com/ncr/nagpals-chole-bhature-defence-colony-new-delhi/order
Kerala Night Kitchen,3.8,"North Indian, Chinese, Biryani, South Indian",₹100 for one,47 min,No Offers,https://www.zomato.com/ncr/kerala-night-kitchen-1-rana-pratap-bagh-new-delhi/order
ENSO - Sourdough Pizza by Nomad,4.3,"Pizza, Fast Food, Desserts, Burger",₹200 for one,32 min,₹100 OFF,https://www.zomato.com/ncr/enso-sourdough-pizza-by-nomad-connaught-place-new-delhi/order
Gullu's,4.2,North Indian,₹200 for one,38 min,Free Pineapple Fruit Cream,https://www.zomato.com/ncr/gullus-kamla-nagar-new-delhi/order
Crusto's - Cheese Burst Pizza,4.5,"Pizza, Italian, Fast Food, Beverages",₹150 for one,43 min,50% OFF,https://www.zomato.com/ncr/crustos-cheese-burst-pizza-karol-bagh-new-delhi/order
Bengali Sweet Centre,4.3,"Mithai, North Indian, South Indian, Chinese, Fast Food, Beverages, Shake, Ice Cream",₹150 for one,49 min,No Offers,https://www.zomato.com/ncr/bengali-sweet-centre-south-extension-1-new-delhi/order
Bakisto,4.2,"Chinese, Sandwich, Burger, Fast Food, Momos, Bakery",₹150 for one,36 min,20% OFF,https://www.zomato.com/ncr/bakisto-west-patel-nagar-new-delhi/order
Mama's,4.3,"North Indian, Chinese, Rolls, Fast Food, Mughlai, Momos",₹250 for one,29 min,No Offers,https://www.zomato.com/ncr/mamas-rajinder-nagar-new-delhi/order
R.P.W Pizza,3.9,Pizza,₹200 for one,39 min,No Offers,https://www.zomato.com/ncr/r-p-w-pizza-daryaganj-new-delhi/order
Food Bus Of India,4.1,"Fast Food, North Indian, Biryani, Beverages, Desserts, Burger",₹200 for one,32 min,60% OFF,https://www.zomato.com/-2-food-truck/order
Oh! Biryani The Taste of Delhi,3.7,Biryani,₹150 for one,47 min,No Offers,https://www.zomato.com/ncr/oh-biryani-the-taste-of-delhi-south-extension-1-new-delhi/order
SIDEWOK,4.5,"Asian, Chinese, Japanese, Continental, Sushi, Desserts, Beverages","₹1,000 for one",39 min,No Offers,https://www.zomato.com/ncr/sidewok-lodhi-colony-new-delhi/order
Creme N Crisp,4.3,"Bakery, Pizza, Sandwich, Fast Food, Street Food, Desserts, Beverages, Cake",₹200 for one,23 min,No Offers,https://www.zomato.com/ncr/creme-n-crisp-gole-market-new-delhi/order
Smoor,4.5,"Cake, Desserts, Bakery, Beverages, Shake",₹300 for one,45 min,₹175 OFF,https://www.zomato.com/ncr/smoor-defence-colony-new-delhi/order
Creative Chef Baker,4.2,Bakery,₹200 for one,48 min,50% OFF,https://www.zomato.com/ncr/creative-chef-baker-west-patel-nagar-new-delhi/order
South Zone,4.2,"South Indian, Chinese, North Indian, Rolls",₹150 for one,35 min,No Offers,https://www.zomato.com/ncr/south-zone-laxmi-nagar-new-delhi/order
Andhra Bhavan,4.5,"South Indian, Andhra",₹200 for one,18 min,₹100 OFF,https://www.zomato.com/ncr/andhra-bhavan-feroze-shah-road-new-delhi/order
Smoke House Deli,4.0,"Italian, Sandwich, Salad, Burger, Desserts, Healthy Food, Pasta, Beverages",₹750 for one,47 min,50% OFF,https://www.zomato.com/ncr/smoke-house-deli-civil-lines-new-delhi/order
Healthy Chef,4.3,"Healthy Food, Continental, American, Burger, Salad, Desserts, Beverages",₹400 for one,34 min,Flat 15% OFF,https://www.zomato.com/ncr/healthy-chef-east-patel-nagar-new-delhi/order
The Big Chill Cakery,4.6,"Bakery, Desserts",₹200 for one,35 min,No Offers,https://www.zomato.com/ncr/the-big-chill-cakery-1-khan-market-new-delhi/order
Pret A Manger,4.3,"Cafe, Coffee, Fast Food, Desserts, Tea, Sandwich, Beverages",₹400 for one,32 min,₹100 OFF,https://www.zomato.com/ncr/pret-a-manger-khan-market-new-delhi/order
Shagun,4.6,"Chinese, Japanese, Fast Food",₹550 for one,51 min,No Offers,https://www.zomato.com/ncr/shagun-satyaniketan-new-delhi/order
Game Of Pizzas,4.1,"Pizza, Fast Food, Burger, Sandwich, Street Food, Shake",₹200 for one,36 min,No Offers,https://www.zomato.com/ncr/game-of-pizzas-west-patel-nagar-new-delhi/order
The Dessert Heaven - Pure Veg,4.0,Desserts,₹100 for one,47 min,35% OFF,https://www.zomato.com/ncr/the-dessert-heaven-pure-veg-karol-bagh-new-delhi/order
Cafe Coffee Day,4.4,"Cafe, Bakery, Tea, Shake, Beverages, Sandwich, Desserts",₹300 for one,20 min,₹150 OFF,https://www.zomato.com/ncr/cafe-coffee-day-22-connaught-place-new-delhi/order
Punjabi Hut,3.6,"North Indian, Chinese, Fast Food, Rolls, Momos",₹150 for one,40 min,50% OFF,https://www.zomato.com/ncr/punjabi-hut-laxmi-nagar-new-delhi/order
Cold Love Ice Cream,4.4,"Ice Cream, Desserts, Coffee, Beverages",₹200 for one,15 min,No Offers,https://www.zomato.com/ncr/cold-love-ice-cream-connaught-place-new-delhi/order
No. 1 Uncles Parantha,4.0,"North Indian, Fast Food, Street Food, Beverages",₹100 for one,35 min,₹150 OFF,https://www.zomato.com/ncr/no-1-uncles-parantha-rajinder-nagar-new-delhi/order
GetAWay - Ice Creams & Desserts,4.4,"Ice Cream, Healthy Food, Desserts, Bakery",₹200 for one,19 min,40% OFF,https://www.zomato.com/ncr/getaway-ice-creams-desserts-connaught-place-new-delhi/order
Punjab Sweet Corner,4.3,"North Indian, Fast Food, South Indian, Beverages, Desserts, Chinese",₹150 for one,33 min,30% OFF,https://www.zomato.com/ncr/punjab-sweet-corner-karol-bagh-new-delhi/order
Bhaja Govindam,4.5,"North Indian, South Indian, Fast Food, Shake",₹200 for one,38 min,No Offers,https://www.zomato.com/ncr/bhaja-govindam-asaf-ali-road-new-delhi/order
AKU'S - The Burger Co.,4.5,"Burger, Fast Food, Beverages",₹250 for one,44 min,20% OFF,https://www.zomato.com/ncr/akus-the-burger-co-defence-colony-new-delhi/order
Udupi Krishna,4.5,"South Indian, North Indian, Chinese, Ice Cream, Beverages",₹200 for one,42 min,No Offers,https://www.zomato.com/ncr/udupi-krishna-kamla-nagar-new-delhi/order
Sadabahar Dhaba,3.9,"North Indian, Biryani, Rolls",₹150 for one,41 min,No Offers,https://www.zomato.com/ncr/sadabahar-dhaba-inderlok-new-delhi/order
Al - Jawahar,4.0,"North Indian, Biryani, Mughlai",₹450 for one,49 min,No Offers,https://www.zomato.com/ncr/al-jawahar-jama-masjid-new-delhi/order
Gurdev Punjabi Restaurant,4.1,North Indian,₹100 for one,37 min,₹200 OFF,https://www.zomato.com/ncr/gurdev-punjabi-restaurant-paharganj-new-delhi/order
Chennai South Indian Cafe,4.1,South Indian,₹150 for one,29 min,No Offers,https://www.zomato.com/ncr/chennai-south-indian-cafe-karol-bagh-new-delhi/order
Zaika Chicken Biryani,4.3,"Biryani, Mughlai",₹150 for one,25 min,No Offers,https://www.zomato.com/ncr/zaika-chicken-biryani-rajinder-nagar-new-delhi/order
Nik Baker's,4.4,"Bakery, Desserts, Fast Food, Cake",₹200 for one,20 min,No Offers,https://www.zomato.com/ncr/nik-bakers-3-connaught-place-new-delhi/order
Mister Kiyoshi,3.8,"Chinese, Momos, Fast Food",₹200 for one,39 min,No Offers,https://www.zomato.com/ncr/mister-kiyoshi-karol-bagh-new-delhi/order
Aggarwal,4.1,North Indian,₹150 for one,29 min,No Offers,https://www.zomato.com/ncr/aggarwal-paharganj-new-delhi/order
Kababs N Roll,4.2,"Rolls, Chinese, Fast Food, North Indian",₹150 for one,18 min,No Offers,https://www.zomato.com/ncr/kababs-n-roll-gole-market-new-delhi/order
Sai Cake And Bake,3.3,Bakery,₹300 for one,33 min,50% OFF,https://www.zomato.com/ncr/sai-cake-and-bake-shadipur-new-delhi/order
Shri Sai Rasoi,4.2,North Indian,₹100 for one,43 min,No Offers,https://www.zomato.com/ncr/shri-sai-rasoi-1-defence-colony-new-delhi/order
The Chinese Hut,3.9,"Chinese, Fast Food, Pasta, Momos, Burger",₹200 for one,39 min,Flat 10% OFF,https://www.zomato.com/ncr/the-chinese-hut-1-laxmi-nagar-new-delhi/order
Baker By Chance,4.3,"Bakery, Desserts",₹250 for one,39 min,₹200 OFF,https://www.zomato.com/ncr/baker-by-chance-defence-colony-new-delhi/order
Yataii,4.4,"Asian, Chinese, Thai",₹100 for one,30 min,₹150 OFF,https://www.zomato.com/ncr/yataii-rajinder-nagar-new-delhi/order
Pink Box,4.5,"Bakery, Desserts",₹200 for one,17 min,50% OFF,https://www.zomato.com/ncr/pink-box-connaught-place-new-delhi/order
Chowringhee,3.8,"Rolls, Kebab, North Indian, Momos",₹200 for one,51 min,No Offers,https://www.zomato.com/chowringheerestaurant/order
Yeti - The Himalayan Kitchen,4.3,"Tibetan, Asian, Momos, Nepalese, North Eastern, Shake, Beverages","₹1,000 for one",35 min,No Offers,https://www.zomato.com/ncr/yeti-the-himalayan-kitchen-connaught-place-new-delhi/order
Muriliwala Bakers,4.2,"Bakery, Fast Food, Street Food",₹200 for one,42 min,No Offers,https://www.zomato.com/ncr/muriliwala-bakers-geeta-colony-new-delhi/order
Punjabi Zaika,4.3,"North Indian, Rolls, Chinese, Momos",₹300 for one,34 min,₹150 OFF,https://www.zomato.com/ncr/punjabi-zaika-karol-bagh-new-delhi/order
Picante - Mexican by Nomad,4.2,"Mexican, Salad, Desserts, Beverages",₹400 for one,31 min,No Offers,https://www.zomato.com/ncr/picante-mexican-by-nomad-connaught-place-new-delhi/order
Blue Water Grille,4.1,"North Indian, Mughlai, Seafood, Rolls",₹400 for one,34 min,40% OFF,https://www.zomato.com/ncr/blue-water-grille-1-rajinder-nagar-new-delhi/order
Punjabi Chaap Corner,4.1,"Chinese, Momos, Fast Food, Rolls",₹200 for one,37 min,₹150 OFF,https://www.zomato.com/ncr/punjabi-chaap-corner-1-rajinder-nagar-new-delhi/order
Bite Tongue Tingling,4.1,"Chinese, South Indian, Pasta, Burger, Sandwich, Fast Food, Wraps, Momos",₹150 for one,40 min,₹150 OFF,https://www.zomato.com/ncr/bite-tongue-tingling-kamla-nagar-new-delhi/order
Chinese Corner,4.2,"Chinese, Fast Food",₹100 for one,41 min,₹150 OFF,https://www.zomato.com/ncr/chinese-corner-lajpat-nagar-1-new-delhi/order
Gopal Sweets Corner,4.3,"Mithai, Street Food",₹100 for one,40 min,No Offers,https://www.zomato.com/ncr/gopal-sweets-corner-kamla-nagar-new-delhi/order
Teavaro,4.6,"Fast Food, Sandwich, Wraps, Bubble Tea, Waffle, Desserts, Beverages",₹400 for one,43 min,50% OFF,https://www.zomato.com/ncr/teavaro-satyaniketan-new-delhi/order
